Text,Target 1,Stance 1,Domain,In Use,Type
在小红书微博逛了一圈发现 重启的好多 真隔十分钟死一回。而且都是iOS16系统，虽然是少数，但我是那个天选倒霉蛋,小红书,中立,娱乐和消费,1,noun_phrases
隔壁的孩子是附近大学的走读生，最近封控在家，刚好赶上了世界杯，总是在半夜听到他激动的嚎，大声的笑。想想自己和好友们一起熬夜看世界杯，原来已经是十多年前的事情啦。明媚的孩子们，阳光又洒脱。愿隔壁小朋友往后，就算出走半生，归来仍是少年。,明媚的少年,支持,新冠疫情,1,noun_phrases
隔壁的孩子是附近大学的走读生，最近封控在家，刚好赶上了世界杯，总是在半夜听到他激动的嚎，大声的笑。想想自己和好友们一起熬夜看世界杯，原来已经是十多年前的事情啦。明媚的孩子们，阳光又洒脱。愿隔壁小朋友往后，就算出走半生，归来仍是少年。,时光飞逝,反对,新冠疫情,1,noun_phrases
医保小贴士 6个提问，为您解答居民医保参保缴费的必要性O医保小贴士 6个提问，为您解答居民医保参保缴费的必要性,居民医保,支持,娱乐和消费,1,noun_phrases
医保小贴士 6个提问，为您解答居民医保参保缴费的必要性O医保小贴士 6个提问，为您解答居民医保参保缴费的必要性,参保缴费,支持,娱乐和消费,1,noun_phrases
某些人混淆什么概念呢？国家一开始强制居家隔离是危急关头保你的命，只不过后面因为有心人变质了罢了。而西八国想打开中国市场进行文化输出是想断中国文化的根狼子野心搁这摆着，某些西八粉追星追傻了吧,防疫政策,支持,文化教育,0,noun_phrases
某些人混淆什么概念呢？国家一开始强制居家隔离是危急关头保你的命，只不过后面因为有心人变质了罢了。而西八国想打开中国市场进行文化输出是想断中国文化的根狼子野心搁这摆着，某些西八粉追星追傻了吧,韩国,反对,文化教育,0,noun_phrases
大眼好爱给我推卡卡呀，但是我根本没看过以前的男足世界杯，现在的也没看过。最多就是有打算看女足世界杯。,女足世界杯,支持,体育,1,noun_phrases
大眼好爱给我推卡卡呀，但是我根本没看过以前的男足世界杯，现在的也没看过。最多就是有打算看女足世界杯。,男足世界杯,反对,体育,1,noun_phrases
大三师范生决定润了 我的观点：1、学校肯定不会让我们考不了试 他们会更急 2、讨厌冬天 讨厌冬天的闷闷的教师 还得顶着雾蒙蒙的眼镜戴口罩,冬天,反对,新冠疫情,1,noun_phrases
国内首条多材料光子芯片产线即将建成据报道，国内首条“多材料、跨尺寸”的光子芯片生产线已在筹备，预计将于2023年在京建成，可满足通信、数据中心、激光雷达、微波光子、医疗检测等领域需求，有望填补我国在光子芯片晶圆代工领域的空白，并且随着芯片技术升级迭代，光子芯片有望成为新一代信息领域的底层技术支撑。值得一提的是，相较于电子芯片，光子芯片对结构的要求较低，一般是百纳米级，因此降低了对先进工艺的依赖。,光子芯片晶圆代工领域,支持,娱乐和消费,1,noun_phrases
"最需要新冠疫苗保护的群体，接种率仍不乐观 免疫力低者容易感染,能否抵抗副作用 疫苗能对付变异病毒 O最需要新冠疫苗保护的群体，接种率仍不乐观",新冠疫苗,支持,新冠疫情,1,noun_phrases
"最需要新冠疫苗保护的群体，接种率仍不乐观 免疫力低者容易感染,能否抵抗副作用 疫苗能对付变异病毒 O最需要新冠疫苗保护的群体，接种率仍不乐观",变异病毒,反对,新冠疫情,1,noun_phrases
西藏珠峰 sh600338 逻辑没变，还是继续看好，后面锂电池新能源应该会有反弹表现了，目前这个位置我们也有浮盈，后面就等它反弹表现的机会。,西藏珠峰,中立,环保,1,noun_phrases
西藏珠峰 sh600338 逻辑没变，还是继续看好，后面锂电池新能源应该会有反弹表现了，目前这个位置我们也有浮盈，后面就等它反弹表现的机会。,锂电池新能源反弹,中立,环保,1,noun_phrases
别跟我说致病力高或者低，那个讲的是概率，看着很好看，再低也会有人当分子。我只知道，针对于每个人，轻症、重症各50 ，有无后遗症各50 ，病毒面前生或死，其实也是50 ！如果全面放开，那才是真正的“新冠的一颗病毒，落在个人头上的一座山”……防疫要讲科学，但是，如果要共存、要躺平，要用人命去“填坑”，这姬爸算哪门子胜利！,全面放开,反对,新冠疫情,1,noun_phrases
别跟我说致病力高或者低，那个讲的是概率，看着很好看，再低也会有人当分子。我只知道，针对于每个人，轻症、重症各50 ，有无后遗症各50 ，病毒面前生或死，其实也是50 ！如果全面放开，那才是真正的“新冠的一颗病毒，落在个人头上的一座山”……防疫要讲科学，但是，如果要共存、要躺平，要用人命去“填坑”，这姬爸算哪门子胜利！,躺平,反对,新冠疫情,1,noun_phrases
疫见 如果说疫苗是病毒的通缉令，抗体则是完成培训的警察，通过增加警力可以抑制犯罪增长，但不代表0犯罪。只要病毒浓度足够高，抗体也会吃不消，所以更多的传染路径会增加疫苗接种者感染的现象。这是持久战，疫苗加强针很有必要。,疫苗加强针,支持,新冠疫情,1,noun_phrases
疫见 如果说疫苗是病毒的通缉令，抗体则是完成培训的警察，通过增加警力可以抑制犯罪增长，但不代表0犯罪。只要病毒浓度足够高，抗体也会吃不消，所以更多的传染路径会增加疫苗接种者感染的现象。这是持久战，疫苗加强针很有必要。,病毒,反对,新冠疫情,0,noun_phrases
感恩节假期，驱车5000公里，从绿草如茵的美墨边境，开到积雪皑皑的美加边境，全程高速，没交一分钱过路费，只掏了油钱，油价还便宜。想起当年在网上恶毒骂我的那些人，此刻在家里……啊，我们都有美好的未来。,感恩节假期,支持,娱乐和消费,1,noun_phrases
感恩节假期，驱车5000公里，从绿草如茵的美墨边境，开到积雪皑皑的美加边境，全程高速，没交一分钱过路费，只掏了油钱，油价还便宜。想起当年在网上恶毒骂我的那些人，此刻在家里……啊，我们都有美好的未来。,油价,支持,娱乐和消费,0,noun_phrases
近期西班牙男篮获得欧洲杯冠军，西班牙女足U17、U20均斩获世界杯冠军，卡塔尔世界杯临近都在给西班牙男足做出榜样。能不能延续西班牙体育这段时间的强势期就看世界杯板鸭的表现了，压力来到了恩里克这一边。,卡塔尔世界杯,中立,体育,0,noun_phrases
近期西班牙男篮获得欧洲杯冠军，西班牙女足U17、U20均斩获世界杯冠军，卡塔尔世界杯临近都在给西班牙男足做出榜样。能不能延续西班牙体育这段时间的强势期就看世界杯板鸭的表现了，压力来到了恩里克这一边。,西班牙,中立,体育,0,noun_phrases
可能也会，因为油价太贵了现在已经有很多人用实际行动证明新能源车的前景，想问下之前买过的朋友们，新能源汽车到底怎么样给点建议！,新能源车,支持,娱乐和消费,1,noun_phrases
可能也会，因为油价太贵了现在已经有很多人用实际行动证明新能源车的前景，想问下之前买过的朋友们，新能源汽车到底怎么样给点建议！,高油价,反对,娱乐和消费,1,noun_phrases
我反正是保守的 为啥从过去到现在只谈过男朋友、只和男的发生过行为、没有追求过女生、和女生没有过暧昧、对女生没有杏欲的人可以叫自己是双啊双在哪了 哪位lgbtq大使给我解释解释啊这类人是双的话我都能当铁T了,双性恋,中立,权益,1,noun_phrases
我反正是保守的 为啥从过去到现在只谈过男朋友、只和男的发生过行为、没有追求过女生、和女生没有过暧昧、对女生没有杏欲的人可以叫自己是双啊双在哪了 哪位lgbtq大使给我解释解释啊这类人是双的话我都能当铁T了,同性恋大使,中立,权益,1,noun_phrases
每日一思考 疫情一放开，医疗需求矛盾终究还是转移到医院来了，转移到医生这块了，希望各位病友善待接诊你的医生，特别年纪大的专家，教授，他们冒着风险替你解除病患！未来，医患不和谐的报道肯定会多起来！,医疗专家,支持,权益,1,noun_phrases
每日一思考 疫情一放开，医疗需求矛盾终究还是转移到医院来了，转移到医生这块了，希望各位病友善待接诊你的医生，特别年纪大的专家，教授，他们冒着风险替你解除病患！未来，医患不和谐的报道肯定会多起来！,疫情放开,中立,权益,0,noun_phrases
22 12 11晴，刚觉得最近实在太忙，没空做饭，前脚把屯的萝卜大菜送了洁仔，后脚就接到通知，下周三天居家办公。,工作繁忙,反对,新冠疫情,1,noun_phrases
22 12 11晴，刚觉得最近实在太忙，没空做饭，前脚把屯的萝卜大菜送了洁仔，后脚就接到通知，下周三天居家办公。,居家办公,中立,新冠疫情,1,noun_phrases
都是素质教育走来的人，为什么差距这么大，打游戏就不管其他三个睡着的舍友了，键盘声吵声音还大，感觉活在一线战场,素质教育,支持,文化教育,1,noun_phrases
都是素质教育走来的人，为什么差距这么大，打游戏就不管其他三个睡着的舍友了，键盘声吵声音还大，感觉活在一线战场,打游戏舍友,反对,文化教育,1,noun_phrases
超级无敌巨巨巨塌房体质从内娱塌到二次元塌到短视频博主塌到up主塌到绘圈太太塌到vtuber 三次元的二次元的三次元和二次元结合的真人假人纸片人全tm碰到我就塌,内娱塌房,反对,娱乐和消费,1,noun_phrases
超级无敌巨巨巨塌房体质从内娱塌到二次元塌到短视频博主塌到up主塌到绘圈太太塌到vtuber 三次元的二次元的三次元和二次元结合的真人假人纸片人全tm碰到我就塌,三次元,中立,娱乐和消费,1,noun_phrases
《卿卿日常》女主角李薇迫于家里无权无势，不得不被送往被称之为九川之首的新川参与为新川少主择妻妾的选秀。而与她同时进宫的，还有身为李薇故交郝葭，和丹川郡主上官婧。而值得探讨的是，决定性格的，却又是在很大程度上不能由自身决定的家庭和环境。而这三位的命运，就是对,卿卿日常,中立,权益,0,noun_phrases
《卿卿日常》女主角李薇迫于家里无权无势，不得不被送往被称之为九川之首的新川参与为新川少主择妻妾的选秀。而与她同时进宫的，还有身为李薇故交郝葭，和丹川郡主上官婧。而值得探讨的是，决定性格的，却又是在很大程度上不能由自身决定的家庭和环境。而这三位的命运，就是对,李薇,中立,权益,0,noun_phrases
给宝宝的Aia重疾保障200万也弄好了你爹的钱包又要受伤了没出生就搞好了保险，医院，月子就差出生六个月后的医疗保险了大头钱全部在年底清算完毕剩下的就是我再搬点砖 赚你的奶粉和尿不湿啦,重疾保障,支持,娱乐和消费,1,noun_phrases
给宝宝的Aia重疾保障200万也弄好了你爹的钱包又要受伤了没出生就搞好了保险，医院，月子就差出生六个月后的医疗保险了大头钱全部在年底清算完毕剩下的就是我再搬点砖 赚你的奶粉和尿不湿啦,搬砖,支持,娱乐和消费,1,noun_phrases
为进一步培养居民垃圾分类投放的好习惯，增强垃圾分类意识，站东街道铁垃分办联合五社区11月7日上午到铁路五村开展了垃圾分类进社区宣传活动。,垃圾分类,支持,环保,1,noun_phrases
为进一步培养居民垃圾分类投放的好习惯，增强垃圾分类意识，站东街道铁垃分办联合五社区11月7日上午到铁路五村开展了垃圾分类进社区宣传活动。,社区宣传,支持,环保,1,noun_phrases
iPhone14 想问一下大家的14pm会出现原彩打开情况下屏幕偏黄，然后过了一段时间变成冷白色的情况吗？变色太明显了。,屏幕变色,反对,娱乐和消费,1,noun_phrases
iPhone14 想问一下大家的14pm会出现原彩打开情况下屏幕偏黄，然后过了一段时间变成冷白色的情况吗？变色太明显了。,苹果十四,中立,娱乐和消费,1,noun_phrases
工作佩戴N95加强防护，让医患都更安心一些希望广州这一波快快过去吧～ 2广州·广州莲之花口腔门诊部 云来斯堡店,佩戴口罩,支持,权益,1,noun_phrases
工作佩戴N95加强防护，让医患都更安心一些希望广州这一波快快过去吧～ 2广州·广州莲之花口腔门诊部 云来斯堡店,医患安心,支持,权益,1,noun_phrases
抛开一些让我反感的设定和情节，我对不同类型的角色的期许是不一样的。虽然这么又充满了东亚爹妈感但随便吧。比如弱智金毛狗可以当弱智金毛狗，比格可以是比格，但亚逼类事业逼会获得我阴暗地 鸡娃礼包,鸡娃礼包,支持,文化教育,1,noun_phrases
抛开一些让我反感的设定和情节，我对不同类型的角色的期许是不一样的。虽然这么又充满了东亚爹妈感但随便吧。比如弱智金毛狗可以当弱智金毛狗，比格可以是比格，但亚逼类事业逼会获得我阴暗地 鸡娃礼包,东亚爹妈感,反对,文化教育,1,noun_phrases
看了金钟云的vlog…我真的觉得南韩你怎么配啊…说实在的…谁懂这种感觉 他介绍的是韩国有名的艺术家 虽然是作为他欣赏的人出发的 但这也是一种文化输出吧…而且真的做得很精美很好 呜呜 听旁白听晕倒了,金钟云的vlog,支持,文化教育,1,noun_phrases
看了金钟云的vlog…我真的觉得南韩你怎么配啊…说实在的…谁懂这种感觉 他介绍的是韩国有名的艺术家 虽然是作为他欣赏的人出发的 但这也是一种文化输出吧…而且真的做得很精美很好 呜呜 听旁白听晕倒了,南韩,反对,文化教育,1,noun_phrases
充电桩作为新能源车时代的必备配套，行业的市场规模和成长确定性无可置疑。尽管关于充电桩的建设仍有诸多难题有待解决，在当前市场竞争格局渐定，商业模式逐渐成熟的变化趋势下，行业收获红利回报或也应该在不远处了。就看谁能从这跑马圈地的竞争中，笑到最后了。 O充电桩行业，红利渐现,充电桩,中立,环保,1,noun_phrases
充电桩作为新能源车时代的必备配套，行业的市场规模和成长确定性无可置疑。尽管关于充电桩的建设仍有诸多难题有待解决，在当前市场竞争格局渐定，商业模式逐渐成熟的变化趋势下，行业收获红利回报或也应该在不远处了。就看谁能从这跑马圈地的竞争中，笑到最后了。 O充电桩行业，红利渐现,收获红利回报,中立,环保,1,noun_phrases
