Text,Target 1,Stance 1,Domain,In Use,Type
隔壁的孩子是附近大学的走读生，最近封控在家，刚好赶上了世界杯，总是在半夜听到他激动的嚎，大声的笑。想想自己和好友们一起熬夜看世界杯，原来已经是十多年前的事情啦。明媚的孩子们，阳光又洒脱。愿隔壁小朋友往后，就算出走半生，归来仍是少年。,明媚的少年,支持,新冠疫情,1,noun_phrases
隔壁的孩子是附近大学的走读生，最近封控在家，刚好赶上了世界杯，总是在半夜听到他激动的嚎，大声的笑。想想自己和好友们一起熬夜看世界杯，原来已经是十多年前的事情啦。明媚的孩子们，阳光又洒脱。愿隔壁小朋友往后，就算出走半生，归来仍是少年。,时光飞逝,反对,新冠疫情,1,noun_phrases
某些人混淆什么概念呢？国家一开始强制居家隔离是危急关头保你的命，只不过后面因为有心人变质了罢了。而西八国想打开中国市场进行文化输出是想断中国文化的根狼子野心搁这摆着，某些西八粉追星追傻了吧,防疫政策,支持,文化教育,0,noun_phrases
某些人混淆什么概念呢？国家一开始强制居家隔离是危急关头保你的命，只不过后面因为有心人变质了罢了。而西八国想打开中国市场进行文化输出是想断中国文化的根狼子野心搁这摆着，某些西八粉追星追傻了吧,韩国,反对,文化教育,1,noun_phrases
老龄化 当人口红利消失，面对少子化、老龄化，日本是前车之鉴，我们要学的是美国。 养老资金不仅需要安全不能亏损，更重要的是,美国养老政策,支持,世界事件,1,noun_phrases
老龄化 当人口红利消失，面对少子化、老龄化，日本是前车之鉴，我们要学的是美国。 养老资金不仅需要安全不能亏损，更重要的是,人口老龄化,中立,世界事件,1,noun_phrases
大眼好爱给我推卡卡呀，但是我根本没看过以前的男足世界杯，现在的也没看过。最多就是有打算看女足世界杯。,女足世界杯,支持,体育,1,noun_phrases
大眼好爱给我推卡卡呀，但是我根本没看过以前的男足世界杯，现在的也没看过。最多就是有打算看女足世界杯。,男足世界杯,反对,体育,1,noun_phrases
大三师范生决定润了 我的观点：1、学校肯定不会让我们考不了试 他们会更急 2、讨厌冬天 讨厌冬天的闷闷的教师 还得顶着雾蒙蒙的眼镜戴口罩,冬天,反对,新冠疫情,0,noun_phrases
伦敦金属交易所（LME）公布了有关俄罗斯金属禁令问题的意见征询结果，同时决定维持现状，不对俄罗斯金属施加禁令。,俄罗斯金属禁令,中立,世界事件,1,noun_phrases
伦敦金属交易所（LME）公布了有关俄罗斯金属禁令问题的意见征询结果，同时决定维持现状，不对俄罗斯金属施加禁令。,伦敦金属交易所,中立,世界事件,1,noun_phrases
【温暖重阳 敬老爱老丨成都市老年大学开展“敬老月”系列活动】为积极应对人口老龄化，大力弘扬中华民族尊老、敬老、爱老、助老的传统美德，值此全国第13个“敬老月”来临之际，成都市老年大学精心组织，广泛开展了形式多样、健康有益的“敬老月”系列活动，为老年学员送关怀、送健康、送温暖。 O温暖重阳 敬老爱老丨成都市老年大学开展“敬老月”系列活动,敬老爱老,支持,世界事件,1,noun_phrases
【温暖重阳 敬老爱老丨成都市老年大学开展“敬老月”系列活动】为积极应对人口老龄化，大力弘扬中华民族尊老、敬老、爱老、助老的传统美德，值此全国第13个“敬老月”来临之际，成都市老年大学精心组织，广泛开展了形式多样、健康有益的“敬老月”系列活动，为老年学员送关怀、送健康、送温暖。 O温暖重阳 敬老爱老丨成都市老年大学开展“敬老月”系列活动,老年大学,支持,世界事件,1,noun_phrases
"最需要新冠疫苗保护的群体，接种率仍不乐观 免疫力低者容易感染,能否抵抗副作用 疫苗能对付变异病毒 O最需要新冠疫苗保护的群体，接种率仍不乐观",新冠疫苗,支持,新冠疫情,0,noun_phrases
"最需要新冠疫苗保护的群体，接种率仍不乐观 免疫力低者容易感染,能否抵抗副作用 疫苗能对付变异病毒 O最需要新冠疫苗保护的群体，接种率仍不乐观",变异病毒,反对,新冠疫情,1,noun_phrases
西藏珠峰 sh600338 逻辑没变，还是继续看好，后面锂电池新能源应该会有反弹表现了，目前这个位置我们也有浮盈，后面就等它反弹表现的机会。,西藏珠峰,中立,环保,1,noun_phrases
西藏珠峰 sh600338 逻辑没变，还是继续看好，后面锂电池新能源应该会有反弹表现了，目前这个位置我们也有浮盈，后面就等它反弹表现的机会。,锂电池新能源反弹,中立,环保,1,noun_phrases
别跟我说致病力高或者低，那个讲的是概率，看着很好看，再低也会有人当分子。我只知道，针对于每个人，轻症、重症各50 ，有无后遗症各50 ，病毒面前生或死，其实也是50 ！如果全面放开，那才是真正的“新冠的一颗病毒，落在个人头上的一座山”……防疫要讲科学，但是，如果要共存、要躺平，要用人命去“填坑”，这姬爸算哪门子胜利！,全面放开,反对,新冠疫情,1,noun_phrases
别跟我说致病力高或者低，那个讲的是概率，看着很好看，再低也会有人当分子。我只知道，针对于每个人，轻症、重症各50 ，有无后遗症各50 ，病毒面前生或死，其实也是50 ！如果全面放开，那才是真正的“新冠的一颗病毒，落在个人头上的一座山”……防疫要讲科学，但是，如果要共存、要躺平，要用人命去“填坑”，这姬爸算哪门子胜利！,躺平,反对,新冠疫情,0,noun_phrases
疫见 如果说疫苗是病毒的通缉令，抗体则是完成培训的警察，通过增加警力可以抑制犯罪增长，但不代表0犯罪。只要病毒浓度足够高，抗体也会吃不消，所以更多的传染路径会增加疫苗接种者感染的现象。这是持久战，疫苗加强针很有必要。,疫苗加强针,支持,新冠疫情,1,noun_phrases
